ACTIVATION_DATE,SUBSCRIPTION_ID,BUNDLE_NAME,REVENUE,GENDER,PROVINCE,CELL_LATITIUDE,CELL_LONGITUDE
10/14/2023,19942400,Monthly 20GB for 999AFN,999,Male,KABUL,34.595213,69.068346
10/24/2023,413420637,Monthly 20GB for 999AFN,999,Male,GHOR,34.595213,69.068346
10/30/2023,447529411,Monthly 20GB for 999AFN,999,Male,BALKH,34.595213,69.068346
10/27/2023,515256392,Monthly 20GB for 999AFN,999,Male,KABUL,34.595213,69.068346
10/27/2023,609716162,Monthly 20GB for 999AFN,999,Male,KABUL,34.595213,69.068346
10/24/2023,712096945,Monthly 6GB for 499AFN,549,Male,NANGARHAR,34.595213,69.068346
10/12/2023,113132445,Monthly 6GB for 499AFN,549,Male,BAGHLAN,34.595213,69.068346
10/15/2023,866501191,Monthly 6GB for 499AFN,549,Female,KABUL,34.550525,69.14539
10/30/2023,413420637,Monthly 6GB for 499AFN,549,Male,KABUL,34.550525,69.14539
10/24/2023,897691801,Monthly 6GB for 499AFN,0,Male,HELMAND,34.550525,69.14539
10/30/2023,447529411,Monthly 6GB for 499AFN,549,Male,BALKH,34.550525,69.14539
10/29/2023,909324638,Monthly 6GB for 499AFN,549,Male,KABUL,34.550525,69.14539
10/29/2023,551231134,Monthly 6GB for 499AFN,549,Male,KABUL,34.550525,69.14539
10/14/2023,609716162,Monthly 6GB for 499AFN,549,Male,KABUL,34.550525,69.14539
10/26/2023,712096945,Weekly 1.5GB for 149 AFN Subs,149,Male,NANGARHAR,34.85692,70.44851
10/16/2023,289227863,Weekly 1.5GB for 149 AFN Subs,149,Male,PARWAN,34.85692,70.44851
10/25/2023,866501191,Weekly 1.5GB for 149 AFN Subs,149,Male,KABUL,34.85692,70.44851
10/25/2023,515256392,Weekly 1.5GB for 149 AFN Subs,149,Male,KABUL,34.85692,70.44851
10/13/2023,242243425,Weekly 1.5GB for 149 AFN Subs,149,Male,NANGARHAR,34.85692,70.44851
10/13/2023,551231134,Weekly 1.5GB for 149 AFN Subs,0,Male,KABUL,34.85692,70.44851
10/25/2023,853537687,Weekly 1.5GB for 149 AFN Subs,149,Female,PAKTIKA,34.85692,70.44851
